|6.6.6
echonhy_1.tab                                                                                       
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3461.992       5.802984       2.374366       4018606.      0.3562471E-04
  3462.980       5.804803       2.375222       4018777.      0.3560484E-04
  3463.772       5.806594       2.375593       4019173.      0.3557153E-04
  3464.563       5.808383       2.375963       4019568.      0.3553830E-04
  3465.621       5.810168       2.376983       4019713.      0.3552238E-04
  3466.411       5.811961       2.377354       4020107.      0.3548924E-04
  3467.474       5.813686       2.378346       4020218.      0.3547244E-04
  3468.263       5.815482       2.378718       4020610.      0.3543940E-04
  3469.392       5.817410       2.379959       4020721.      0.3542960E-04
  3470.180       5.819212       2.380331       4021111.      0.3539665E-04
  3471.315       5.821160       2.381573       4021184.      0.3538705E-04
  3472.102       5.822967       2.381946       4021573.      0.3535420E-04
  3472.889       5.824772       2.382318       4021960.      0.3532140E-04
  3474.131       5.826772       2.383836       4021988.      0.3531866E-04
  3474.917       5.828584       2.384209       4022374.      0.3528595E-04
  3476.146       5.830733       2.385738       4022402.      0.3528402E-04
  3476.930       5.832552       2.386112       4022785.      0.3525140E-04
  3478.275       5.834816       2.387965       4022791.      0.3525748E-04
  3479.058       5.836644       2.388339       4023173.      0.3522493E-04
  3480.482       5.839076       2.390417       4023101.      0.3523717E-04
  3481.264       5.840914       2.390792       4023481.      0.3520467E-04
  3482.743       5.843275       2.392929       4023313.      0.3521824E-04
  3483.525       5.845123       2.393305       4023691.      0.3518581E-04
  3484.306       5.846968       2.393681       4024068.      0.3515345E-04
  3485.883       5.849476       2.396073       4023830.      0.3517359E-04
  3486.663       5.851331       2.396450       4024205.      0.3514129E-04
  3488.299       5.853983       2.399000       4023920.      0.3516572E-04
  3489.079       5.855849       2.399378       4024293.      0.3513347E-04
  3491.586       5.871009       2.410403       4015316.      0.3506591E-04
  3492.361       5.872875       2.410786       4015683.      0.3503386E-04
  3494.968       5.889986       2.423027       4005436.      0.3495034E-04
  3495.739       5.891851       2.423415       4005795.      0.3491851E-04
  3496.510       5.893713       2.423803       4006154.      0.3488674E-04
  3497.785       5.892948       2.423796       4008359.      0.3492543E-04
  3498.555       5.894818       2.424185       4008716.      0.3489371E-04
  3499.883       5.893842       2.424145       4011100.      0.3493906E-04
  3500.653       5.895720       2.424534       4011457.      0.3490736E-04
  3502.047       5.894445       2.424414       4014111.      0.3496283E-04
  3502.817       5.896333       2.424802       4014467.      0.3493116E-04
