|6.6.6
CM_hydrous_differentiated_Ganymede_Core80Fe20S_1.tab                                                
           2
T(K)    
   273.150000000000     
   5.53477564102564     
         313
P(bar)  
   1.00000000000000     
   277.240384615385     
         313
           9
T(K)           P(bar)         rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K      Ks,bar         Gs,bar        
  1297.08        1.00000        3495.01        6.45598        3.10135       0.406902E+007  0.425645E-004  0.100849E+007   336163.     
  1302.62        1.00000        3494.19        6.45342        3.10012       0.407072E+007  0.426270E-004  0.100745E+007   335818.     
  1308.15        1.00000        3493.36        6.45096        3.09894       0.407235E+007  0.426873E-004  0.100645E+007   335482.     
  1313.69        1.00000        3492.52        6.44853        3.09778       0.407407E+007  0.427522E-004  0.100545E+007   335149.     
  1319.22        1.00000        3491.65        6.44648        3.09679       0.407570E+007  0.428146E-004  0.100456E+007   334853.     
  1324.76        1.00000        3490.77        6.44445        3.09582       0.407733E+007  0.428810E-004  0.100367E+007   334558.     
  1330.29        1.00000        3489.92        6.44215        3.09471       0.407893E+007  0.429441E-004  0.100271E+007   334237.     
  1335.83        1.00000        3489.06        6.43987        3.09361       0.408052E+007  0.430079E-004  0.100176E+007   333919.     
  1341.36        1.00000        3488.20        6.43770        3.09257       0.408209E+007  0.430722E-004  0.100083E+007   333611.     
  1346.90        1.00000        3487.33        6.43554        3.09153       0.408365E+007  0.431367E-004   999912.        333304.     
  1352.43        1.00000        3486.46        6.43337        3.09049       0.408518E+007  0.432013E-004   998991.        332997.     
  1357.97        1.00000        3485.55        6.43173        3.08970       0.408669E+007  0.432678E-004   998218.        332739.     
  1363.50        1.00000        3484.73        6.42904        3.08841       0.408820E+007  0.433310E-004   997149.        332383.     
  1369.04        1.00000        3483.85        6.42687        3.08737       0.408969E+007  0.433960E-004   996228.        332076.     
  1374.57        1.00000        3482.98        6.42471        3.08633       0.409116E+007  0.434612E-004   995308.        331769.     
  1380.11        1.00000        3482.10        6.42254        3.08529       0.409261E+007  0.435283E-004   994384.        331461.     
  1385.64        1.00000        3481.23        6.42041        3.08426       0.409405E+007  0.435931E-004   993475.        331158.     
  1391.17        1.00000        3480.35        6.41825        3.08323       0.409547E+007  0.436589E-004   992557.        330852.     
  1396.71        1.00000        3479.48        6.41608        3.08219       0.409688E+007  0.437248E-004   991639.        330546.     
  1402.24        1.00000        3478.60        6.41392        3.08115       0.409827E+007  0.437909E-004   990721.        330240.     
  1407.78        1.00000        3477.72        6.41181        3.08013       0.409964E+007  0.438567E-004   989817.        329939.     
  1413.31        1.00000        3476.83        6.40971        3.07912       0.410100E+007  0.439241E-004   988916.        329639.     
  1418.85        1.00000        3475.96        6.40743        3.07803       0.410235E+007  0.439899E-004   987967.        329322.     
  1424.38        1.00000        3475.09        6.40525        3.07698       0.410368E+007  0.440557E-004   987045.        329015.     
  1429.92        1.00000        3474.18        6.40332        3.07605       0.410499E+007  0.441245E-004   986192.        328731.     
  1435.45        1.00000        3473.32        6.40094        3.07491       0.410630E+007  0.441902E-004   985216.        328405.     
  1440.99        1.00000        3472.41        6.39895        3.07396       0.410758E+007  0.442588E-004   984347.        328116.     
  1446.52        1.00000        3471.53        6.39677        3.07291       0.410885E+007  0.443263E-004   983425.        327808.     
  1452.06        1.00000        3470.66        6.39449        3.07181       0.411011E+007  0.443933E-004   982476.        327492.     
  1457.59        1.00000        3469.77        6.39234        3.07078       0.411135E+007  0.444613E-004   981564.        327188.     
